date,value
2024-10-08,102.357478
2024-10-09,103.017681
2024-10-10,102.545552
2024-10-11,103.247546
2024-10-14,103.498487
2024-10-15,101.724695
2024-10-16,101.618781
2024-10-17,101.722523
2024-10-18,102.192144
2024-10-21,102.776617
2024-10-22,102.419027
2024-10-23,99.924746
2024-10-24,100.850165
2024-10-25,103.117272
2024-10-28,105.899079
2024-10-29,107.251739
2024-10-30,105.213651
2024-10-31,101.130414
2024-11-01,101.582796
2024-11-04,101.282303
2024-11-05,104.080869
2024-11-06,107.78612
2024-11-07,110.735347
2024-11-08,110.363527
2024-11-11,110.924322
2024-11-12,110.424104
2024-11-13,109.501337
2024-11-14,108.332658
2024-11-15,106.867057
2024-11-18,107.172507
2024-11-19,110.267149
2024-11-20,109.706125
2024-11-21,109.582854
2024-11-22,110.426862
2024-11-25,110.612078
2024-11-26,110.994612
2024-11-27,109.541173
2024-11-29,110.767324
2024-12-02,113.955618
2024-12-03,117.436701
2024-12-04,120.285499
2024-12-05,119.873427
2024-12-06,123.892236
2024-12-09,120.031103
2024-12-10,119.627762
2024-12-11,121.798573
2024-12-12,120.599778
2024-12-13,119.521697
2024-12-16,121.20872
2024-12-17,118.662696
2024-12-18,114.227931
2024-12-19,114.979494
2024-12-20,116.460537
2024-12-23,118.949444
2024-12-24,120.085428
2024-12-26,119.537773
2024-12-27,117.520563
2024-12-30,116.015445
2024-12-31,115.167483
2025-01-02,116.979044
2025-01-03,119.850525
2025-01-06,121.317193
2025-01-07,118.179534
2025-01-08,116.850704
2025-01-10,115.625227
2025-01-13,115.705239
2025-01-14,115.756868
2025-01-15,118.821844
2025-01-16,118.399471
2025-01-17,119.898795
2025-01-21,122.54759
2025-01-22,126.630995
2025-01-23,127.114575
2025-01-24,127.833871
2025-01-27,116.011079
2025-01-28,121.374935
2025-01-29,120.637086
2025-01-30,122.399669
2025-01-31,122.556838
2025-02-03,122.159918
2025-02-04,127.488315
2025-02-05,125.752957
2025-02-06,128.035848
2025-02-07,128.223086
2025-02-10,131.668196
2025-02-11,131.086951
2025-02-12,130.10293
2025-02-13,132.063041
2025-02-14,133.689643
2025-02-18,135.646171
2025-02-19,133.336493
2025-02-20,132.174897
2025-02-21,126.427675
2025-02-24,122.329456
2025-02-25,119.427197
2025-02-26,121.513237
2025-02-27,115.692752
2025-02-28,117.243319
2025-03-03,112.359954
2025-03-04,113.293431
2025-03-05,116.132467
2025-03-06,110.142041
2025-03-07,111.984016
2025-03-10,106.512739
2025-03-11,106.430445
2025-03-12,111.169217
2025-03-13,107.640628
2025-03-14,112.026989
2025-03-17,112.330586
2025-03-18,108.661129
2025-03-19,111.238643
2025-03-20,110.918499
2025-03-21,112.120753
2025-03-24,116.668294
2025-03-25,116.295239
2025-03-26,111.593334
2025-03-27,110.479831
2025-03-28,105.380501
2025-03-31,103.399013
2025-04-01,109.483607
2025-04-02,113.046554
2025-04-03,104.609992
2025-04-04,97.495661
2025-04-07,99.286898
2025-04-08,95.919855
2025-04-09,110.21889
2025-04-10,103.129335
2025-04-11,105.165002
2025-04-14,105.23982
2025-04-15,105.110677
2025-04-16,101.264145
2025-04-17,100.35481
2025-04-21,96.474813
2025-04-22,99.914814
2025-04-23,104.430993
2025-04-24,108.433327
2025-04-25,110.419066
2025-04-28,110.300898
2025-04-29,110.703306
2025-04-30,109.800322
2025-05-01,113.355692
2025-05-02,118.58452
2025-05-05,117.546594
2025-05-06,116.649317
2025-05-07,118.071848
2025-05-08,120.492568
2025-05-09,119.442097
2025-05-12,127.811197
2025-05-13,132.859123
2025-05-14,136.103217
2025-05-15,134.000384
2025-05-16,138.252054
2025-05-19,138.9502
2025-05-20,139.378524
2025-05-21,140.657719
2025-05-22,139.883645
2025-05-23,139.626412
2025-05-27,145.865515
2025-05-28,144.57817
2025-05-29,143.030665
2025-05-30,144.003531
2025-06-02,146.192422
2025-06-03,151.114031
2025-06-04,153.817151
2025-06-05,152.486304
2025-06-06,156.510087
2025-06-09,162.478092
2025-06-10,162.621494
2025-06-11,160.831665
2025-06-12,162.602368
2025-06-13,161.68297
2025-06-16,167.061132
2025-06-17,166.858043
2025-06-18,166.82594
2025-06-20,165.988059
2025-06-23,166.053376
2025-06-24,170.773428
2025-06-25,169.920265
2025-06-26,172.931223
2025-06-27,172.497792
2025-06-30,174.843563
2025-07-01,169.975504
2025-07-02,171.250135
2025-07-03,174.608457
2025-07-07,172.604675
2025-07-08,171.727264
2025-07-09,173.423143
2025-07-10,172.483559
2025-07-11,170.418007
2025-07-14,175.139135
2025-07-15,178.890863
2025-07-16,180.12658
2025-07-17,180.317306
2025-07-18,178.363682
2025-07-21,179.006819
2025-07-22,177.405152
2025-07-23,179.194997
2025-07-24,179.92982
2025-07-25,180.165623
2025-07-28,181.150972
2025-07-29,180.053144
2025-07-30,180.224166
2025-07-31,185.654509
2025-08-01,178.427168
2025-08-04,183.315782
2025-08-05,185.468011
2025-08-06,185.81861
2025-08-07,191.774701
2025-08-08,195.604296
2025-08-11,196.938977
2025-08-12,201.755417
2025-08-13,195.723697
2025-08-14,192.250655
2025-08-15,192.634566
2025-08-18,191.457658
2025-08-19,183.520768
2025-08-20,182.204206
2025-08-21,180.999628
2025-08-22,185.336299
2025-08-25,184.740925
2025-08-26,185.456162
2025-08-27,186.240124
2025-08-28,189.193496
2025-08-29,185.159009
2025-09-02,181.712564
2025-09-03,182.347655
2025-09-04,183.130411
2025-09-05,181.952283
2025-09-08,183.758164
2025-09-09,196.884165
2025-09-10,207.598472
2025-09-11,203.829937
2025-09-12,204.635737
2025-09-15,208.99184
2025-09-16,208.443438
2025-09-17,208.189864
2025-09-18,209.823993
2025-09-19,213.643453
2025-09-22,217.75409
2025-09-23,215.358745
2025-09-24,215.709652
2025-09-25,211.716527
2025-09-26,209.941764
2025-09-29,211.730626
2025-09-30,215.066321
2025-10-01,216.83833
2025-10-02,220.462043
2025-10-03,216.914893
2025-10-06,223.585921
2025-10-28,223.589
2025-11-03,223.589
2025-11-04,223.589
2025-11-05,223.589
2025-11-06,223.589
2025-11-07,223.589
2025-11-10,223.589
2025-11-11,223.589
2025-11-12,223.589
2025-11-13,223.589
2025-11-14,223.589
2025-11-17,223.589
2025-11-19,223.589
2025-11-20,223.589
2025-11-21,223.589
2025-11-24,223.589
2025-11-25,223.589
2025-11-26,223.589
2025-11-27,223.589
2025-11-28,223.589
2025-12-01,223.589
2025-12-02,223.589
2025-12-03,223.589
2025-12-04,223.589
2025-12-05,223.589
2025-12-08,223.589
2025-12-09,223.589
2025-12-10,223.589
2025-12-11,223.589
2025-12-12,223.589
2025-12-15,223.589
2025-12-16,223.589
2025-12-17,223.589
2025-12-18,223.589
2025-12-19,223.589
2025-12-22,223.589
2025-12-23,223.589
2025-12-24,223.589
2025-12-25,223.589
2025-12-26,223.589
2025-12-29,223.589
2025-12-30,223.589
2025-12-31,223.589
2026-01-01,223.589
2026-01-02,223.589
2026-01-05,223.589
2026-01-06,223.589
2026-01-07,223.589
2026-01-08,223.589
2026-01-09,223.589
2026-01-12,223.589
2026-01-13,223.589
2026-01-14,223.589
2026-01-15,223.589
2026-01-16,223.589
2026-01-19,223.589
2026-01-20,223.589
2026-01-21,223.589
2026-01-22,223.589
2026-01-23,223.589
2026-01-26,223.589
2026-01-27,223.589
2026-01-28,223.589
